item_id,rater_uid,feedback,gmt_create,rate_pic_url
i1,u2158,样式 不错 ， 皮质 柔软 ， 整体 满意 ， 就是 尺码 感觉 偏 小 ， 特别 是 前 后面 部分 ， 袖 长 合适 ； 里面 穿 一 件 衬衫 穿 应该 不 要紧 。 ,2014/9/1 19:36,
i1,u1628,还 不错   摸 起来 挺 舒服 ,2014/9/8 22:18,
i1,u1947,性价比 相当 不错 ， 穿 起来 挺 有型 。 ,2014/9/9 21:00,
i1,u1197,衣服 材质 很 好 ， 物流 也 很快 ， 赞 一个 ！ ,2014/9/1 21:48,
i1,u2312,衣服 质量 不错 ， 这 个 价 很 超值 ,2014/9/2 07:25,
i1,u888,不知道 质量 ， 给 老丈人 买 的 。 ,2014/9/18 21:46,
i1,u1886,皮质 很 柔软 。 手感 不错 ， 老公 也 喜欢 。 而且 买家 服务 超好 的 。 谢谢 咯 ！ 祝 生意兴隆 ,2014/9/20 21:40,
i1,u2046,卖家 发货 挺 快 ， 皮衣 做工 用料 都 很 好 的 ， 穿着 也 很 合身 ， 满意 ,2014/9/19 21:28,
i10,u2322,修身 ， 穿 起来 很 舒服 ！ 物超所值 ！ ！ ！ ,2014/9/17 21:08,
i10,u1731,很 多 线头 ， 真心 不 值 这 个 价 ,2014/9/23 20:10,
i100,u1047,质量 很 好 很 舒服 给 卖家 一百 个 赞 ,2014/9/21 10:08,
i100,u328,衣服 质量 也 太 不 怎么样 ！ 还 偏 大 ， 买 时 也 不 提醒 自己 衣服 偏 大 ， 让 买 时 注意 点 ！ 真是 价钱 偏 低 ， 什么 也 不 提醒 ,2014/9/1 20:46,
i100,u1990,真心 便宜   质量 不错 。 ,2014/9/13 14:09,
i100,u2300,帮 人 买 的 ， 货品 还 可以 ， 货主 很 满意 ,2014/9/22 12:00,
i101,u1348,质量 都 挺好 的 ， 没 问题 ， 橡皮筋 我 超 喜欢 颜色 鲜艳 ， 够 我 女儿 用 很 久 了 ！ 这 个 稍 胖 的 人 不 能 穿 ！ ,2014/9/11 23:06,
i101,u4,很 好 哦 ～ 在 实体店 根本 买 不 到 那么 优惠 的 商品 ， 物超所值 ！ 买 了 很 多 件 ， 好评 全 满分 ， 以后 还 会 再 来 ， 嘿嘿 ? ,2014/9/14 00:55,
i102,u1059,先 买 了 一 条 ， 觉得 好 就 又 买 了 一 条 ， 帮 朋友 还 带 了 一 条 ,2014/9/29 19:14,
i102,u936,感觉 很 不错 ， 穿 上 蛮 舒服 的 ！ ,2014/9/19 22:26,
i102,u924,很 便宜 ， 质量超好 ， 物超所值 ,2014/9/30 17:37,
i102,u967,质量 很 好 ， 于 描述 的 一样 ,2014/9/19 18:43,
i103,u1685,黑色 的 下边 蕾丝 容易 起 球 粘 身上 ,2014/9/15 06:49,
i104,u694,服务 态度 好 ， 质量 不错 … … ,2014/9/20 09:49,
i104,u634,  物流 慢 的 像 蜗牛 ， 一个 星期 才 到货 ， 洗 了 一次 就 变形 了 ， 超 差 。 ,2014/9/2 22:26,
i105,u630,好 ， 物流 快 ， 包装 好 ， 手感 好 ， 值得 赞 。 ,2014/9/19 09:49,
i105,u2299,东西 还 不错 价钱 也 合理 ,2014/9/19 09:00,
i106,u450,衣服 很 好 ， 秋天 穿 正 合适 。 ,2014/9/2 12:57,
i106,u521,衣服 稍微 大 了 一 丢丢 。 。 。 。 ,2014/9/30 15:43,
i106,u1973,确实 很 好 ～ 下次 还有 卖 ,2014/9/12 14:29,
i106,u647,东西 还 行   物流 也 还 行   好评 吧 ,2014/9/7 13:11,
i106,u1957,  挺 好看 的 ， 但 商标 确实 不 咋 地 ,2014/9/21 23:54,
i106,u2192,可以 541 噢 耶 料子 不错 ,2014/9/24 22:53,
i107,u884,亲 ， 不错 哦 ， 我 试 了 下 还是 可以 的   ， 没 什么 异味 ， 支持 哦 ！ ,2014/9/2 14:57,
i107,u872,宝贝 很 好 ， 物美价廉 ， 下次 再 光顾 ， ,2014/9/27 20:08,
i107,u1136,颜色 与 图片 有 差别 ， 质量 一般 ， 不 想 退换 了 。 ,2014/9/5 08:42,
i107,u953,什么 店 ， 买 的 产品 没有 收到 还 不 给 处理 ， 要 不是 申请 售后 ， 我 亏 大 了 ， 把 我 买 的 东西 发 错 地址 且 还有 人 签收 ， 打 电话 也 不 接 这 就是 该 店 的 服务 ， 希望 大家 不要 再 买 这 个 家 的 货 ,2014/9/29 20:48,
i108,u2023,好看 好评 ～ 应该 多 买 几 个 颜色 ～ ,2014/9/28 19:05,
i108,u2104,很 好 的 东 东 ， 质量 很 好 ， 物超所值 ， 赞 赞 赞 ,2014/9/11 11:45,
i109,u976,衣服 收到 了 ， 颜色 很 好 ， 和 图片 上 的 一样 。 做工 很 细 ， 卖家 发货 速度 快 ,2014/9/25 10:00,
i109,u1590,样式 还 不错 ， 质量 也 可以 ， 就是 感觉 不 像 棉 的 ！ ,2014/9/30 14:44,
i109,u1277,宝贝 质量超好 的 ， 老公 穿 上 也 很 帅 ， 以后 还 会 再 来 的 ,2014/9/17 23:25,
i109,u170,款式 很 好 ， 做工 也 很 精致 。 弹性 很 好 ， 发货 也 很快 。   很 好 。 ,2014/9/4 20:22,
i109,u1641,  做工 简单 ， 没有 预想 的 好 … … 不 太 满意 ,2014/9/2 11:50,
i109,u1882,说实话 真 的 不是 很 好看 ， 只有 一般 般 ， 背面 跟 前面 完全 不同 ， 前面 的 条纹 也 是 单独 的 一 层 。 ,2014/9/16 23:43,
i109,u1766,宝贝 不错 ， 特 实惠 ， 以后 再 来 买 ！ ,2014/9/4 23:43,
i109,u729,收到 货 老公 穿 上 很 喜欢 ， 已经 是 第二 次 在 他家 买 衣服 了 ， 不错 给 好评 。 ,2014/9/29 10:46,
i109,u544,嗯嗯         很 好 也 很 合身 ,2014/9/10 19:31,
i11,u182,很 好看 哟 ！ 质量 真 的 超级棒 的 ,2014/9/16 20:24,
i11,u2555,宝贝 收到 ！ 穿 上 很 好 ！ 性价比 高 ！ 本人 生 高 160 体重 125 正好 ！ 有 需要 还 会 来 ！ ,2014/9/7 13:26,http://img01.taobaocdn.com/bao/uploaded/TB2Z.WXapXXXXafXXXXXXXXXXXX_!!653725685-0-rate.jpg
i110,u975,东西 质量 很 好 ， 可是 物流 实在 太 慢 了 ， 好 几 天 改 没 反应 ， 不过 看 在 东西 还 不错 ， 同学 还 让 帮忙 买 几 天 呢 ,2014/9/15 07:52,
i110,u1209,  质量 可以             服务 好 ,2014/9/1 22:28,
i110,u901,跟 上次 买 的 不一样 ， 差 很 多 。 原来 脚 踩 是 袜子 ， 现在 是 窟窿 ， 不 舒服 ， 比 原来 的 还 薄 ， 腰 也 短 ， 质量 差 很 多 ， 没 买 的 就 不要 再 买 了 ， 上当 。 ,2014/9/30 10:34,
i110,u674,不错 ， 蛮 好 ， 超级 好评 ,2014/9/17 13:43,
i110,u2329,很 好 很 喜欢 ， 以后 还 会 光顾 的 ,2014/9/17 17:24,
i110,u658,宝贝 收到 啦 ， 颜色 很 纯正 ， 摸 起来 特别 舒服 ， 给 五颗星 ,2014/9/27 10:29,
i111,u2077,第二 次 光顾 了   再 要 大一 码 好 了   虽然 也 合适 ,2014/9/26 18:41,
